 typeid |                            typename                            | typeclass |    size    | published | marketgroup | groupid | raceid 
  15637 | Yeni Sarum's Insignia                                          |           |        0.1 |         1 |         737 |     409 |       
  15638 | Terachi Tash-Murkon's Insignia                                 |           |        0.1 |         1 |         737 |     409 |       
  15639 | Karzo Sarum's Insignia                                         |           |        0.1 |         1 |         737 |     409 |       
  15640 | Ammatar Navy Squad Leader Insignia                             |           |        0.1 |         1 |         731 |     409 |       
  15641 | Ammatar Navy Raid Leader Insignia                              |           |        0.1 |         1 |         731 |     409 |       
  15643 | Ammatar Navy Fleet Commander Insignia                          |           |        0.1 |         1 |         731 |     409 |       
  15645 | Jerek Zuomi's Insignia                                         |           |        0.1 |         1 |         737 |     409 |       
  30345 | PPD Fullerene Fibers Reaction                                  |           |          1 |         1 |        1143 |     977 |       
  16179 | Khanid Rookie Insignia                                         |           |        0.1 |         1 |         735 |     409 |       
  16180 | Khanid Fighter Insignia                                        |           |        0.1 |         1 |         735 |     409 |       
  16181 | Khanid Elite Fighter Insignia                                  |           |        0.1 |         1 |         735 |     409 |       
  16182 | Khanid Scout Insignia                                          |           |        0.1 |         1 |         735 |     409 |       
  16183 | Khanid Sparrow Insignia                                        |           |        0.1 |         1 |         735 |     409 |       
  16184 | Khanid Officer Insignia                                        |           |        0.1 |         1 |         735 |     409 |       
  16185 | Khanid Hawk Insignia                                           |           |        0.1 |         1 |         735 |     409 |       
  16186 | Khanid Eagle Insignia                                          |           |        0.1 |         1 |         735 |     409 |       
  16187 | Khanid Warbird Insignia                                        |           |        0.1 |         1 |         735 |     409 |       
  16242 | Thrasher                                                       |           |      43000 |         1 |         468 |     420 |       
  16243 | Thrasher Blueprint                                             |           |       0.01 |         1 |         586 |     487 |       
  16245 | Hardwiring - Zainou 'Gnome' KUA2000                            |           |          1 |         1 |        1158 |     749 |       
  16246 | Hardwiring - Zainou 'Gnome' KVA2000                            |           |          1 |         1 |        1167 |     749 |       
  16247 | Hardwiring - Zainou 'Gnome' KXA2000                            |           |          1 |         1 |        1175 |     749 |       
  16688 | Medium Artillery Battery                                       |           |       1000 |         1 |         594 |     426 |       
  16689 | Large Artillery Battery                                        |           |       5000 |         1 |         594 |     426 |       
  16690 | Small Railgun Battery                                          |           |        500 |         1 |         595 |     449 |       
  16691 | Medium Railgun Battery                                         |           |       1000 |         1 |         595 |     449 |       
  16692 | Large Railgun Battery                                          |           |       5000 |         1 |         595 |     449 |       
  16868 | Standard Blue Pill Booster Reaction                            |           |          1 |         1 |         981 |     661 |       
  16869 | Complex Reactor Array                                          |           |       4000 |         1 |         490 |     438 |       
  17208 | Guristas Palladium Tag                                         |           |        0.1 |         1 |         745 |     370 |       
  17209 | Guristas Electrum Tag                                          |           |        0.1 |         1 |         745 |     370 |       
  17210 | Sansha Copper Tag                                              |           |        0.1 |         1 |         746 |     370 |       
  17211 | Sansha Diamond Tag                                             |           |        0.1 |         1 |         746 |     370 |       
  17240 | Dark Blood Platinum Tag                                        |           |        0.1 |         1 |         742 |     370 |       
  17241 | Dread Guristas Brass Tag                                       |           |        0.1 |         1 |         744 |     370 |       
  11299 | 800mm Reinforced Steel Plates I                                |           |         50 |         1 |         133 |     329 |       
  15646 | Federation Navy Command Sergeant Major Insignia I              |           |        0.1 |         1 |         734 |     409 |       
  15647 | Federation Navy Squad Leader Insignia                          |           |        0.1 |         1 |         734 |     409 |       
  15648 | Federation Navy Raid Leader Insignia                           |           |        0.1 |         1 |         734 |     409 |       
  15649 | Federation Navy Sergeant Elite Insignia                        |           |        0.1 |         1 |         734 |     409 |       
  15650 | Federation Navy Fleet Commander Insignia                       |           |        0.1 |         1 |         734 |     409 |       
  17253 | True Sansha Bronze Tag                                         |           |        0.1 |         1 |         749 |     370 |       
  17254 | True Sansha Copper Tag                                         |           |        0.1 |         1 |         749 |     370 |       
  31048 | Medium Auxiliary Nano Pump I Blueprint                         |           |       0.01 |         1 |        1204 |     787 |       
  30346 | Fullerene Intercalated Graphite Reaction                       |           |          1 |         1 |        1143 |     977 |       
  30348 | Lanthanum Metallofullerene Reaction                            |           |          1 |         1 |        1143 |     977 |       
  30349 | Scandium Metallofullerene Reaction                             |           |          1 |         1 |        1143 |     977 |       
  30350 | Graphene Nanoribbons Reaction                                  |           |          1 |         1 |        1143 |     977 |       
  30386 | R.A.M.- Hybrid Technology                                      |           |          1 |         1 |         398 |     716 |       
  30351 | Carbon-86 Epoxy Resin Reaction                                 |           |          1 |         1 |        1143 |     977 |       
  30352 | C3-FTM Acid Reaction                                           |           |          1 |         1 |        1143 |     977 |       
  30368 | Methanofullerene Reaction                                      |           |          1 |         1 |        1143 |     977 |       
  30382 | Amarr Hybrid Tech Decryptor                                    |           |          1 |         1 |        1150 |     979 |       
  30383 | Caldari Hybrid Tech Decryptor                                  |           |          1 |         1 |        1150 |     979 |       
  30384 | Minmatar Hybrid Tech Decryptor                                 |           |          1 |         1 |        1150 |     979 |       
  30464 | Metallofullerene Plating                                       |           |          5 |         1 |        1147 |     964 |       
  30465 | Metallofullerene Plating Blueprint                             |           |          1 |         1 |        1191 |     965 |       
  30046 | Tengu Electronics - Obfuscation Manifold                       |           |          5 |         1 |        1119 |     955 |       
  30048 | Tengu Electronics - CPU Efficiency Gate                        |           |          5 |         1 |        1119 |     955 |       
  30050 | Tengu Electronics - Dissolution Sequencer                      |           |          5 |         1 |        1119 |     955 |       
  30056 | Proteus Electronics - Friction Extension Processor             |           |          5 |         1 |        1120 |     955 |       
  30058 | Proteus Electronics - CPU Efficiency Gate                      |           |          5 |         1 |        1120 |     955 |       
  30066 | Loki Electronics - Immobility Drivers                          |           |          5 |         1 |        1121 |     955 |       
  30068 | Loki Electronics - Tactical Targeting Network                  |           |          5 |         1 |        1121 |     955 |       
  30070 | Loki Electronics - Dissolution Sequencer                       |           |          5 |         1 |        1121 |     955 |       
  30076 | Legion Propulsion - Chassis Optimization                       |           |          5 |         1 |        1134 |     957 |       
  30080 | Legion Propulsion - Wake Limiter                               |           |          5 |         1 |        1134 |     957 |       
  30086 | Tengu Propulsion - Intercalated Nanofibers                     |           |          5 |         1 |        1135 |     957 |       
  30088 | Tengu Propulsion - Gravitational Capacitor                     |           |          5 |         1 |        1135 |     957 |       
  30090 | Tengu Propulsion - Fuel Catalyst                               |           |          5 |         1 |        1135 |     957 |       
  30096 | Proteus Propulsion - Wake Limiter                              |           |          5 |         1 |        1136 |     957 |       
  30100 | Proteus Propulsion - Gravitational Capacitor                   |           |          5 |         1 |        1136 |     957 |       
  30106 | Loki Propulsion - Chassis Optimization                         |           |          5 |         1 |        1137 |     957 |       
  30123 | Tengu Offensive - Rifling Launcher Pattern                     |           |          5 |         1 |        1131 |     956 |       
  30108 | Loki Propulsion - Intercalated Nanofibers                      |           |          5 |         1 |        1137 |     957 |       
  30110 | Loki Propulsion - Fuel Catalyst                                |           |          5 |         1 |        1137 |     957 |       
  30122 | Tengu Offensive - Accelerated Ejection Bay                     |           |          5 |         1 |        1131 |     956 |       
  30127 | Proteus Offensive - Dissonic Encoding Platform                 |           |          5 |         1 |        1132 |     956 |       
  30128 | Proteus Offensive - Hybrid Propulsion Armature                 |           |          5 |         1 |        1132 |     956 |       
  30129 | Proteus Offensive - Drone Synthesis Projector                  |           |          5 |         1 |        1132 |     956 |       
  30132 | Loki Offensive - Turret Concurrence Registry                   |           |          5 |         1 |        1133 |     956 |       
  30133 | Loki Offensive - Projectile Scoping Array                      |           |          5 |         1 |        1133 |     956 |       
  30134 | Loki Offensive - Hardpoint Efficiency Configuration            |           |          5 |         1 |        1133 |     956 |       
  30141 | Tengu Engineering - Augmented Capacitor Reservoir              |           |          5 |         1 |        1123 |     958 |       
  30143 | Tengu Engineering - Capacitor Regeneration Matrix              |           |          5 |         1 |        1123 |     958 |       
  30149 | Proteus Engineering - Power Core Multiplier                    |           |          5 |         1 |        1124 |     958 |       
  30151 | Proteus Engineering - Augmented Capacitor Reservoir            |           |          5 |         1 |        1124 |     958 |       
  30153 | Proteus Engineering - Capacitor Regeneration Matrix            |           |          5 |         1 |        1124 |     958 |       
  30159 | Loki Engineering - Power Core Multiplier                       |           |          5 |         1 |        1125 |     958 |       
  30161 | Loki Engineering - Augmented Capacitor Reservoir               |           |          5 |         1 |        1125 |     958 |       
  29659 | Unrefined Fluxed Condensates                                   |           |          1 |         1 |         500 |     428 |       
  29660 | Unrefined Dysporite                                            |           |          1 |         1 |         500 |     428 |       
  29661 | Unrefined Neo Mercurite                                        |           |          1 |         1 |         500 |     428 |       
  29662 | Unrefined Prometium                                            |           |          1 |         1 |         500 |     428 |       
  29664 | Unrefined Hyperflurite                                         |           |          1 |         1 |         500 |     428 |       
  29668 | 30 Day Pilot's License Extension (PLEX)                        |           |      0.001 |         1 |        1108 |     943 |       
  29964 | Legion Defensive - Adaptive Augmenter                          |           |         20 |         1 |        1126 |     954 |       
  29965 | Legion Defensive - Nanobot Injector                            |           |         20 |         1 |        1126 |     954 |       
  29966 | Legion Defensive - Augmented Plating                           |           |         20 |         1 |        1126 |     954 |       
  29969 | Tengu Defensive - Adaptive Shielding                           |           |         20 |         1 |        1127 |     954 |       
     20 | Kernite                                                        |           |        1.2 |         1 |         523 |     457 |       
     21 | Hedbergite                                                     |           |          3 |         1 |         527 |     454 |       
     22 | Arkonor                                                        |           |         16 |         1 |         512 |     450 |       
    178 | Carbonized Lead S                                              |           |      0.004 |         1 |         113 |      83 |       
    179 | Nuclear S                                                      |           |     0.0035 |         1 |         113 |      83 |       
    180 | Proton S                                                       |           |      0.003 |         1 |         113 |      83 |       
    190 | Titanium Sabot M                                               |           |    0.01625 |         1 |         112 |      83 |       
    191 | Fusion M                                                       |           |    0.01875 |         1 |         112 |      83 |       
    192 | Phased Plasma M                                                |           |    0.02125 |         1 |         112 |      83 |       
    193 | EMP M                                                          |           |      0.025 |         1 |         112 |      83 |       
    194 | Carbonized Lead L                                              |           |       0.04 |         1 |         109 |      83 |       
    195 | Nuclear L                                                      |           |      0.035 |         1 |         109 |      83 |       
    196 | Proton L                                                       |           |       0.03 |         1 |         109 |      83 |       
    197 | Depleted Uranium L                                             |           |      0.025 |         1 |         109 |      83 |       
    198 | Titanium Sabot L                                               |           |     0.0325 |         1 |         109 |      83 |       
    199 | Fusion L                                                       |           |     0.0375 |         1 |         109 |      83 |       
    200 | Phased Plasma L                                                |           |     0.0425 |         1 |         109 |      83 |       
    201 | EMP L                                                          |           |       0.05 |         1 |         109 |      83 |       
  29970 | Tengu Defensive - Amplification Node                           |           |         20 |         1 |        1127 |     954 |       
    205 | Devastator Cruise Missile                                      |           |       0.05 |         1 |         921 |     386 |       
    206 | Havoc Heavy Missile                                            |           |       0.03 |         1 |         924 |     385 |       
    207 | Thunderbolt Heavy Missile                                      |           |       0.03 |         1 |         924 |     385 |       
    208 | Widowmaker Heavy Missile                                       |           |       0.03 |         1 |         924 |     385 |       
  13320 | Cruise Missile Launcher I                                      |           |         20 |         1 |         643 |     506 |       
  29971 | Tengu Defensive - Supplemental Screening                       |           |         20 |         1 |        1127 |     954 |       
  21570 | Sleeper Manuscripts                                            |           |          1 |         1 |         810 |     732 |       
  31089 | Small Salvage Tackle II                                        |           |       0.01 |         1 |        1206 |     773 |       
    211 | Flameburst Light Missile                                       |           |      0.015 |         1 |         920 |     384 |       
    212 | Sabretooth Light Missile                                       |           |      0.015 |         1 |         920 |     384 |       
    213 | Piranha Light Missile                                          |           |      0.015 |         1 |         920 |     384 |       
    215 | Iron Charge S                                                  |           |      0.005 |         1 |         107 |      85 |       
    233 | Iridium Charge L                                               |           |       0.05 |         1 |         106 |      85 |       
    234 | Lead Charge L                                                  |           |       0.05 |         1 |         106 |      85 |       
  29974 | Loki Defensive - Adaptive Shielding                            |           |         20 |         1 |        1128 |     954 |       
  29975 | Loki Defensive - Adaptive Augmenter                            |           |         20 |         1 |        1128 |     954 |       
  29976 | Loki Defensive - Amplification Node                            |           |         20 |         1 |        1128 |     954 |       
  29979 | Proteus Defensive - Adaptive Augmenter                         |           |         20 |         1 |        1129 |     954 |       
  29980 | Proteus Defensive - Nanobot Injector                           |           |         20 |         1 |        1129 |     954 |       
  29984 | Tengu                                                          |           |      92000 |         1 |        1140 |     963 |       
  29986 | Legion                                                         |           |     118000 |         1 |        1139 |     963 |       
  29988 | Proteus                                                        |           |     115000 |         1 |        1141 |     963 |       
  29990 | Loki                                                           |           |      80000 |         1 |        1142 |     963 |       
  29993 | Optimized Nano-Engines Blueprint                               |           |          1 |         1 |        1191 |     965 |       
  29997 | Emergent Neurovisual Interface Blueprint                       |           |          1 |         1 |        1191 |     965 |       
  29995 | Warfare Computation Core Blueprint                             |           |          1 |         1 |        1191 |     965 |       
  29996 | Emergent Neurovisual Interface                                 |           |         20 |         1 |        1147 |     964 |       
  30002 | Fullerene Intercalated Sheets                                  |           |          5 |         1 |        1147 |     964 |       
  30003 | Fullerene Intercalated Sheets Blueprint                        |           |          1 |         1 |        1191 |     965 |       
  30008 | Reinforced Metallofullerene Alloys                             |           |         10 |         1 |        1147 |     964 |       
  30009 | Reinforced Metallofullerene Alloys Blueprint                   |           |          1 |         1 |        1191 |     965 |       
  30013 | Core Scanner Probe I                                           |           |        0.1 |         1 |        1199 |     479 |       
  30014 | Core Scanner Probe I Blueprint                                 |           |       0.01 |         1 |         320 |     486 |       
  30018 | Fused Nanomechanical Engines                                   |           |       0.01 |         1 |        1148 |     966 |       
  30019 | Powdered C-540 Graphite                                        |           |       0.01 |         1 |        1148 |     966 |       
  30021 | Modified Fluid Router                                          |           |       0.01 |         1 |        1148 |     966 |       
  30022 | Heuristic Selfassemblers                                       |           |       0.01 |         1 |        1148 |     966 |       
  30024 | Cartesian Temporal Coordinator                                 |           |       0.01 |         1 |        1148 |     966 |       
  30029 | Combat Scanner Probe I Blueprint                               |           |       0.01 |         1 |         320 |     486 |       
  30030 | Deep Space Scanner Probe I                                     |           |          1 |         1 |        1199 |     479 |       
  30031 | Deep Space Scanner Probe I Blueprint                           |           |       0.01 |         1 |         320 |     486 |       
  30036 | Legion Electronics - Energy Parasitic Complex                  |           |          5 |         1 |        1118 |     955 |       
  30038 | Legion Electronics - Tactical Targeting Network                |           |          5 |         1 |        1118 |     955 |       
  29080 | Capital Nuclear Reactor Unit Blueprint                         |           |          1 |         1 |        1097 |     914 |       
  29081 | Capital Oscillator Capacitor Unit                              |           |         10 |         1 |        1101 |     913 |       
  29082 | Capital Oscillator Capacitor Unit Blueprint                    |           |          1 |         1 |        1097 |     914 |       
  29083 | Capital Particle Accelerator Unit                              |           |         10 |         1 |        1101 |     913 |       
  29084 | Capital Particle Accelerator Unit Blueprint                    |           |          1 |         1 |        1097 |     914 |       
  29085 | Capital Photon Microprocessor                                  |           |         10 |         1 |        1101 |     913 |       
  29086 | Capital Photon Microprocessor Blueprint                        |           |          1 |         1 |        1097 |     914 |       
  29087 | Capital Plasma Pulse Generator                                 |           |         10 |         1 |        1101 |     913 |       
  29088 | Capital Plasma Pulse Generator Blueprint                       |           |          1 |         1 |        1097 |     914 |       
   1333 | Reinforced Bulkheads I                                         |           |         25 |         1 |        1195 |      78 |       
   1827 | Dragon F.O.F. Cruise Missile I Blueprint                       |           |       0.01 |         1 |         315 |     166 |       
   1828 | Hunter F.O.F. Cruise Missile I                                 |           |       0.05 |         1 |         914 |     396 |       
   1829 | Hunter F.O.F. Cruise Missile I Blueprint                       |           |       0.01 |         1 |         315 |     166 |       
   1830 | Obliterator F.O.F. Cruise Missile I                            |           |       0.05 |         1 |         914 |     396 |       
   1831 | Obliterator F.O.F. Cruise Missile I Blueprint                  |           |       0.01 |         1 |         315 |     166 |       
   1832 | Phoenix F.O.F. Cruise Missile I                                |           |       0.05 |         1 |         914 |     396 |       
   1833 | Phoenix F.O.F. Cruise Missile I Blueprint                      |           |       0.01 |         1 |         315 |     166 |       
   1875 | Assault Missile Launcher I                                     |           |         10 |         1 |         641 |     511 |       
   1876 | Assault Missile Launcher I Blueprint                           |           |       0.01 |         1 |         340 |     136 |       
   1877 | Assault Missile Launcher II                                    |           |         10 |         1 |         641 |     511 |       
   1878 | Assault Missile Launcher II Blueprint                          |           |       0.01 |         1 |         340 |     136 |       
   1893 | Basic Heat Sink                                                |           |          5 |         1 |         647 |     205 |       
   1952 | Sensor Booster II                                              |           |          5 |         1 |         671 |     212 |       
   1955 | ECM - Spatial Destabilizer I                                   |           |          5 |         1 |         717 |     201 |       
   1956 | ECM - White Noise Generator I                                  |           |          5 |         1 |         718 |     201 |       
   1957 | ECM - Multispectral Jammer I                                   |           |          5 |         1 |         719 |     201 |       
   1958 | ECM - Phase Inverter I                                         |           |          5 |         1 |         716 |     201 |       
   1959 | ECCM Projector I                                               |           |         20 |         1 |         686 |     289 |       
   2341 | Passive Targeter II                                            |           |          5 |         1 |         672 |      82 |       
   2355 | Small Hull Repairer II                                         |           |          5 |         1 |        1053 |      63 |       
   2363 | Heat Sink I                                                    |           |          5 |         1 |         647 |     205 |       
   2364 | Heat Sink II                                                   |           |          5 |         1 |         647 |     205 |       
   3017 | Gatling Pulse Laser II                                         |           |          5 |         1 |         570 |      53 |       
   3018 | Gatling Pulse Laser II Blueprint                               |           |       0.01 |         1 |         292 |     133 |       
   3025 | Heavy Beam Laser II                                            |           |         10 |         1 |         568 |      53 |       
   3026 | Heavy Beam Laser II Blueprint                                  |           |       0.01 |         1 |         293 |     133 |       
   3033 | Medium Beam Laser II                                           |           |          5 |         1 |         567 |      53 |       
   3041 | Medium Pulse Laser II                                          |           |          5 |         1 |         570 |      53 |       
   3042 | Medium Pulse Laser II Blueprint                                |           |       0.01 |         1 |         292 |     133 |       
   3049 | Mega Beam Laser II                                             |           |         20 |         1 |         569 |      53 |       
   3050 | Mega Beam Laser II Blueprint                                   |           |       0.01 |         1 |         295 |     133 |       
   3057 | Mega Pulse Laser II                                            |           |         20 |         1 |         573 |      53 |       
   3058 | Mega Pulse Laser II Blueprint                                  |           |       0.01 |         1 |         295 |     133 |       
   3065 | Tachyon Beam Laser II                                          |           |         20 |         1 |         569 |      53 |       
   3066 | Tachyon Beam Laser II Blueprint                                |           |       0.01 |         1 |         295 |     133 |       
   3162 | Light Electron Blaster II                                      |           |          5 |         1 |         561 |      74 |       
   3163 | Light Electron Blaster II Blueprint                            |           |       0.01 |         1 |         291 |     154 |       
   3170 | Light Ion Blaster II                                           |           |          5 |         1 |         561 |      74 |       
  31724 | Medium Anti-EM Screen Reinforcer II                            |           |       0.01 |         1 |        1235 |     774 |       
  29089 | Capital Plasma Thruster                                        |           |         10 |         1 |        1102 |     913 |       
   3179 | Light Neutron Blaster II Blueprint                             |           |       0.01 |         1 |         291 |     154 |       
   3186 | Neutron Blaster Cannon II                                      |           |         20 |         1 |         563 |      74 |       
   3187 | Neutron Blaster Cannon II Blueprint                            |           |       0.01 |         1 |         289 |     154 |       
   3218 | Harvester Mining Drone                                         |           |         10 |         1 |         158 |     101 |       
   3242 | Warp Disruptor I                                               |           |          5 |         1 |         682 |      52 |       
   3243 | Warp Disruptor I Blueprint                                     |           |       0.01 |         1 |         323 |     132 |       
   3296 | Large Standard Container                                       |           |        650 |         1 |         379 |      12 |       
   3297 | Small Standard Container                                       |           |        100 |         1 |         379 |      12 |       
   3300 | Gunnery                                                        |           |       0.01 |         1 |         364 |     255 |       
   3301 | Small Hybrid Turret                                            |           |       0.01 |         1 |         364 |     255 |       
   3302 | Small Projectile Turret                                        |           |       0.01 |         1 |         364 |     255 |       
   3303 | Small Energy Turret                                            |           |       0.01 |         1 |         364 |     255 |       
   3304 | Medium Hybrid Turret                                           |           |       0.01 |         1 |         364 |     255 |       
   3305 | Medium Projectile Turret                                       |           |       0.01 |         1 |         364 |     255 |       
   3306 | Medium Energy Turret                                           |           |       0.01 |         1 |         364 |     255 |       
   3307 | Large Hybrid Turret                                            |           |       0.01 |         1 |         364 |     255 |       
   3308 | Large Projectile Turret                                        |           |       0.01 |         1 |         364 |     255 |       
   3309 | Large Energy Turret                                            |           |       0.01 |         1 |         364 |     255 |       
   3713 | Vitoc                                                          |           |        0.5 |         1 |         491 |     313 |       
   3715 | Frozen Food                                                    |           |        0.5 |         1 |         492 |     281 |       
   3717 | Dairy Products                                                 |           |        0.5 |         1 |         492 |     281 |       
  31123 | Small Cargohold Optimization II                                |           |       0.01 |         1 |        1210 |     782 |       
   3721 | Slaves                                                         |           |          5 |         1 |          23 |     283 |       
   3723 | Slaver Hound                                                   |           |          1 |         1 |          23 |     283 |       
   3950 | Medium Plasma Smartbomb II Blueprint                           |           |       0.01 |         1 |         341 |     152 |       
   3953 | Medium EMP Smartbomb I                                         |           |         25 |         1 |         383 |      72 |       
   3954 | Medium EMP Smartbomb I Blueprint                               |           |       0.01 |         1 |         341 |     152 |       
   3955 | Medium EMP Smartbomb II                                        |           |         10 |         1 |         383 |      72 |       
   3956 | Medium EMP Smartbomb II Blueprint                              |           |       0.01 |         1 |         341 |     152 |       
  29090 | Capital Plasma Thruster Blueprint                              |           |          1 |         1 |        1097 |     914 |       
   3978 | Large Proton Smartbomb I Blueprint                             |           |       0.01 |         1 |         341 |     152 |       
   3979 | Large Proton Smartbomb II                                      |           |         50 |         1 |         381 |      72 |       
   3980 | Large Proton Smartbomb II Blueprint                            |           |       0.01 |         1 |         341 |     152 |       
   3981 | Large Graviton Smartbomb I                                     |           |         50 |         1 |         381 |      72 |       
  29091 | Capital Pulse Shield Emitter                                   |           |         10 |         1 |        1101 |     913 |       
   3983 | Large Graviton Smartbomb II                                    |           |         50 |         1 |         381 |      72 |       
   3984 | Large Graviton Smartbomb II Blueprint                          |           |       0.01 |         1 |         341 |     152 |       
  29092 | Capital Pulse Shield Emitter Blueprint                         |           |          1 |         1 |        1097 |     914 |       
   3988 | Large Plasma Smartbomb I Blueprint                             |           |       0.01 |         1 |         341 |     152 |       
   3989 | Large Plasma Smartbomb II                                      |           |         50 |         1 |         381 |      72 |       
   3990 | Large Plasma Smartbomb II Blueprint                            |           |       0.01 |         1 |         341 |     152 |       
   5239 | EP-S Gaussian I Excavation Pulse                               |           |          5 |         1 |        1039 |      54 |       
   5241 | Dual Diode Mining Laser I                                      |           |          5 |         1 |        1039 |      54 |       
   5243 | XeCl Drilling Beam I                                           |           |          5 |         1 |        1039 |      54 |       
   5245 | Cu Vapor Particle Bore Stream I                                |           |          5 |         1 |        1039 |      54 |       
   5279 | F-23 Reciprocal Sensor Cluster Link                            |           |          5 |         1 |         673 |     290 |       
   5365 | 'Cetus' ECM Shockwave I                                        |           |          5 |         1 |         678 |      80 |       
  29093 | Capital Quantum Microprocessor                                 |           |         10 |         1 |        1100 |     913 |       
  29094 | Capital Quantum Microprocessor Blueprint                       |           |          1 |         1 |        1097 |     914 |       
  29095 | Capital Radar Sensor Cluster                                   |           |         10 |         1 |        1099 |     913 |       
  29096 | Capital Radar Sensor Cluster Blueprint                         |           |          1 |         1 |        1097 |     914 |       
  29097 | Capital Scalar Capacitor Unit                                  |           |         10 |         1 |        1100 |     913 |       
   5441 | Fleeting Progressive Warp Scrambler I                          |           |          5 |         1 |         682 |      52 |       
  29098 | Capital Scalar Capacitor Unit Blueprint                        |           |          1 |         1 |        1097 |     914 |       
  29099 | Capital Superconductor Rails                                   |           |         10 |         1 |        1100 |     913 |       
   5479 | Marked Modified SS Expanded Cargo                              |           |          5 |         1 |        1197 |     765 |       
   5481 | Partial Hull Conversion Expanded Cargo                         |           |          5 |         1 |        1197 |     765 |       
   5483 | Alpha Hull Mod Expanded Cargo                                  |           |          5 |         1 |        1197 |     765 |       
  29100 | Capital Superconductor Rails Blueprint                         |           |          1 |         1 |        1097 |     914 |       
   5487 | Mark I Modified SS Expanded Cargo                              |           |          5 |         1 |        1197 |     765 |       
   5489 | Local Hull Conversion Expanded Cargo I                         |           |          5 |         1 |        1197 |     765 |       
   6309 | Amplitude Signal Enhancer                                      |           |          5 |         1 |         669 |     210 |       
  29101 | Capital Sustained Shield Emitter                               |           |         10 |         1 |        1100 |     913 |       
  29102 | Capital Sustained Shield Emitter Blueprint                     |           |          1 |         1 |        1097 |     914 |       
  29103 | Capital Tesseract Capacitor Unit                               |           |         10 |         1 |        1099 |     913 |       
  29104 | Capital Tesseract Capacitor Unit Blueprint                     |           |          1 |         1 |        1097 |     914 |       
  29105 | Capital Thermonuclear Trigger Unit                             |           |         10 |         1 |        1102 |     913 |       
  29106 | Capital Thermonuclear Trigger Unit Blueprint                   |           |          1 |         1 |        1097 |     914 |       
  29107 | Capital Titanium Diborite Armor Plate                          |           |         10 |         1 |        1100 |     913 |       
  29108 | Capital Titanium Diborite Armor Plate Blueprint                |           |          1 |         1 |        1097 |     914 |       
  29109 | Capital Tungsten Carbide Armor Plate                           |           |         10 |         1 |        1099 |     913 |       
  29110 | Capital Tungsten Carbide Armor Plate Blueprint                 |           |          1 |         1 |        1097 |     914 |       
  29248 | Magnate                                                        |           |      22100 |         1 |          72 |      25 |       
   3977 | Large Proton Smartbomb I                                       |           |         50 |         1 |         381 |      72 |       
   3987 | Large Plasma Smartbomb I                                       |           |         50 |         1 |         381 |      72 |       
   5399 | J5 Prototype Warp Disruptor I                                  |           |          5 |         1 |         682 |      52 |       
   5401 | Fleeting Warp Disruptor I                                      |           |          5 |         1 |         682 |      52 |       
   5403 | Faint Warp Disruptor I                                         |           |          5 |         1 |         682 |      52 |       
   5405 | Initiated Warp Disruptor I                                     |           |          5 |         1 |         682 |      52 |       
   5439 | J5b Phased Prototype Warp Scrambler I                          |           |          5 |         1 |         682 |      52 |       
   5443 | Faint Epsilon Warp Scrambler I                                 |           |          5 |         1 |         682 |      52 |       
   5445 | Initiated Harmonic Warp Scrambler I                            |           |          5 |         1 |         682 |      52 |       
   7131 | Mega Anode Particle Stream I                                   |           |         20 |         1 |         569 |      53 |       
  29249 | Magnate Blueprint                                              |           |          0 |         1 |         272 |     105 |       
  29613 | Large Ship Assembly Array                                      |           |      25000 |         1 |         932 |     397 |       
  29637 | Industrial Command Ships                                       |           |       0.01 |         1 |         377 |     257 |       
  29640 | Unrefined Hyperflurite Reaction                                |           |          1 |         1 |         508 |     436 |       
  29641 | Unrefined Ferrofluid Reaction                                  |           |          1 |         1 |         508 |     436 |       
  29642 | Unrefined Prometium Reaction                                   |           |          1 |         1 |         508 |     436 |       
  29643 | Unrefined Neo Mercurite Reaction                               |           |          1 |         1 |         508 |     436 |       
  29644 | Unrefined Dysporite Reaction                                   |           |          1 |         1 |         508 |     436 |       
  29645 | Unrefined Fluxed Condensates Reaction                          |           |          1 |         1 |         508 |     436 |       
  31113 | Medium Auxiliary Thrusters II                                  |           |       0.01 |         1 |        1211 |     782 |       
  29039 | Capital Antimatter Reactor Unit                                |           |         10 |         1 |        1099 |     913 |       
  29040 | Capital Antimatter Reactor Unit Blueprint                      |           |          1 |         1 |        1097 |     914 |       
  29041 | Capital Crystalline Carbonide Armor Plate                      |           |         10 |         1 |        1101 |     913 |       
  29042 | Capital Crystalline Carbonide Armor Plate Blueprint            |           |          1 |         1 |        1097 |     914 |       
  29043 | Capital Deflection Shield Emitter                              |           |         10 |         1 |        1102 |     913 |       
  29044 | Capital Deflection Shield Emitter Blueprint                    |           |          1 |         1 |        1097 |     914 |       
  29045 | Capital Electrolytic Capacitor Unit                            |           |         10 |         1 |        1102 |     913 |       
  29046 | Capital Electrolytic Capacitor Unit Blueprint                  |           |          1 |         1 |        1097 |     914 |       
  29047 | Capital Emp Pulse Generator                                    |           |         10 |         1 |        1099 |     913 |       
  29049 | Capital Fernite Carbide Composite Armor Plate                  |           |         10 |         1 |        1102 |     913 |       
